Displacement_mm,Axial_Force_N
5.000000e-07,8.116750e+03
1.000000e-06,1.623240e+04
1.500000e-06,2.434710e+04
2.000000e-06,3.246070e+04
2.500000e-06,4.057330e+04
3.000000e-06,4.868480e+04
3.500000e-06,5.679520e+04
4.000000e-06,6.490460e+04
4.500000e-06,7.301300e+04
5.000000e-06,8.112030e+04
5.500000e-06,8.922660e+04
6.000000e-06,9.733180e+04
6.500000e-06,1.054360e+05
7.000000e-06,1.135390e+05
7.500000e-06,1.216410e+05
8.000000e-06,1.297420e+05
8.500000e-06,1.378420e+05
9.000000e-06,1.459410e+05
9.500000e-06,1.540390e+05
1.000000e-05,1.621360e+05
1.050000e-05,1.702320e+05
1.100000e-05,1.783270e+05
1.150000e-05,1.864200e+05
1.200000e-05,1.945130e+05
1.250000e-05,2.026040e+05
1.300000e-05,2.106950e+05
1.350000e-05,2.187850e+05
1.400000e-05,2.268730e+05
1.450000e-05,2.349600e+05
1.500000e-05,2.430470e+05
1.550000e-05,2.511320e+05
1.600000e-05,2.592160e+05
1.650000e-05,2.673000e+05
1.700000e-05,2.753820e+05
1.750000e-05,2.834630e+05
1.800000e-05,2.915430e+05
1.850000e-05,2.996220e+05
1.900000e-05,3.077000e+05
1.950000e-05,3.157770e+05
2.000000e-05,3.238530e+05
2.050000e-05,3.319280e+05
2.100000e-05,3.400020e+05
2.150000e-05,3.480740e+05
2.200000e-05,3.561460e+05
2.250000e-05,3.642170e+05
2.300000e-05,3.722860e+05
2.350000e-05,3.803550e+05
2.400000e-05,3.884230e+05
2.450000e-05,3.964890e+05
2.500000e-05,4.045550e+05
2.550000e-05,4.126190e+05
2.600000e-05,4.206820e+05
2.650000e-05,4.287450e+05
2.700000e-05,4.368060e+05
2.750000e-05,4.448660e+05
2.800000e-05,4.529250e+05
2.850000e-05,4.609830e+05
2.900000e-05,4.690400e+05
2.950000e-05,4.770960e+05
3.000000e-05,4.851510e+05
3.050000e-05,4.932050e+05
3.100000e-05,5.012580e+05
3.150000e-05,5.093100e+05
3.200000e-05,5.173610e+05
3.250000e-05,5.254100e+05
3.300000e-05,5.334590e+05
3.350000e-05,5.415070e+05
3.400000e-05,5.495530e+05
3.450000e-05,5.575990e+05
3.500000e-05,5.656430e+05
3.550000e-05,5.736870e+05
3.600000e-05,5.817290e+05
3.650000e-05,5.897700e+05
3.700000e-05,5.978110e+05
3.750000e-05,6.058500e+05
3.800000e-05,6.138880e+05
3.850000e-05,6.219250e+05
3.900000e-05,6.299620e+05
3.950000e-05,6.379970e+05
4.000000e-05,6.460310e+05
4.050000e-05,6.540640e+05
4.100000e-05,6.620950e+05
4.150000e-05,6.701260e+05
4.200000e-05,6.781560e+05
4.250000e-05,6.861850e+05
4.300000e-05,6.942130e+05
4.350000e-05,7.022390e+05
4.400000e-05,7.102650e+05
4.450000e-05,7.182900e+05
4.500000e-05,7.263130e+05
4.550000e-05,7.343360e+05
4.600000e-05,7.423570e+05
4.650000e-05,7.503780e+05
4.700000e-05,7.583970e+05
4.750000e-05,7.664150e+05
4.800000e-05,7.744320e+05
4.850000e-05,7.824490e+05
4.900000e-05,7.904640e+05
4.950000e-05,7.984780e+05
5.000000e-05,8.064910e+05
5.050000e-05,8.145030e+05
5.100000e-05,8.225140e+05
5.150000e-05,8.305240e+05
5.200000e-05,8.385330e+05
5.250000e-05,8.465410e+05
5.300000e-05,8.545480e+05
5.350000e-05,8.625530e+05
5.400000e-05,8.705580e+05
5.450000e-05,8.785620e+05
5.500000e-05,8.865640e+05
5.550000e-05,8.945660e+05
5.600000e-05,9.025660e+05
5.650000e-05,9.105660e+05
5.700000e-05,9.185640e+05
5.750000e-05,9.265620e+05
5.800000e-05,9.345580e+05
5.850000e-05,9.425530e+05
5.900000e-05,9.505470e+05
5.950000e-05,9.585410e+05
6.000000e-05,9.665330e+05
6.050000e-05,9.745240e+05
6.100000e-05,9.825140e+05
6.150000e-05,9.905030e+05
6.200000e-05,9.984910e+05
6.250000e-05,1.006480e+06
6.300000e-05,1.014460e+06
6.350000e-05,1.022450e+06
6.400000e-05,1.030430e+06
6.450000e-05,1.038410e+06
6.500000e-05,1.046400e+06
6.550000e-05,1.054380e+06
6.600000e-05,1.062360e+06
6.650000e-05,1.070340e+06
6.700000e-05,1.078310e+06
6.750000e-05,1.086290e+06
6.800000e-05,1.094260e+06
6.850000e-05,1.102240e+06
6.900000e-05,1.110210e+06
6.950000e-05,1.118180e+06
7.000000e-05,1.126160e+06
