Strain_pct,Stress_fpc28_Unconfined,Stress_fpc28_Confined,Stress_fpc70_Unconfined,Stress_fpc70_Confined
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.005025e-02,-2.743365e+00,-1.098675e+00,-6.858413e+00,-3.685769e+00
2.010050e-02,-5.345320e+00,-2.183962e+00,-1.336330e+01,-7.294484e+00
3.015075e-02,-7.805863e+00,-3.255864e+00,-1.951466e+01,-1.082614e+01
4.020101e-02,-1.012500e+01,-4.314378e+00,-2.531249e+01,-1.428075e+01
5.025126e-02,-1.230272e+01,-5.359506e+00,-3.075680e+01,-1.765830e+01
6.030151e-02,-1.433903e+01,-6.391247e+00,-3.584758e+01,-2.095879e+01
7.035176e-02,-1.623393e+01,-7.409602e+00,-4.058483e+01,-2.418223e+01
8.040201e-02,-1.798742e+01,-8.414570e+00,-4.496856e+01,-2.732861e+01
9.045226e-02,-1.959951e+01,-9.406152e+00,-4.899876e+01,-3.039794e+01
1.005025e-01,-2.107017e+01,-1.038435e+01,-5.267544e+01,-3.339021e+01
1.105528e-01,-2.239943e+01,-1.134915e+01,-5.599859e+01,-3.630543e+01
1.206030e-01,-2.358728e+01,-1.230058e+01,-5.896821e+01,-3.914360e+01
1.306533e-01,-2.463372e+01,-1.323861e+01,-6.158430e+01,-4.190470e+01
1.407035e-01,-2.553875e+01,-1.416326e+01,-6.384687e+01,-4.458876e+01
1.507538e-01,-2.630237e+01,-1.507452e+01,-6.575592e+01,-4.719575e+01
1.608040e-01,-2.692457e+01,-1.597240e+01,-6.731143e+01,-4.972570e+01
1.708543e-01,-2.740537e+01,-1.685688e+01,-6.851342e+01,-5.217859e+01
1.809045e-01,-2.774475e+01,-1.772799e+01,-6.936188e+01,-5.455442e+01
1.909548e-01,-2.794273e+01,-1.858570e+01,-6.985682e+01,-5.685320e+01
2.010050e-01,-2.792496e+01,-1.943003e+01,-6.981240e+01,-5.907492e+01
2.110553e-01,-2.717454e+01,-2.026097e+01,-6.793635e+01,-6.121959e+01
2.211055e-01,-2.642412e+01,-2.107853e+01,-6.606030e+01,-6.328720e+01
2.311558e-01,-2.567370e+01,-2.188269e+01,-6.418425e+01,-6.527776e+01
2.412060e-01,-2.492328e+01,-2.267348e+01,-6.230821e+01,-6.719126e+01
2.512563e-01,-2.417286e+01,-2.345087e+01,-6.043216e+01,-6.902770e+01
2.613065e-01,-2.342245e+01,-2.421488e+01,-5.855611e+01,-7.078710e+01
2.713568e-01,-2.267203e+01,-2.496550e+01,-5.668007e+01,-7.246943e+01
2.814070e-01,-2.192161e+01,-2.570274e+01,-5.480402e+01,-7.407472e+01
2.914573e-01,-2.117119e+01,-2.642659e+01,-5.292797e+01,-7.560294e+01
3.015075e-01,-2.042077e+01,-2.713705e+01,-5.105193e+01,-7.705411e+01
3.115578e-01,-1.967035e+01,-2.783412e+01,-4.917588e+01,-7.842823e+01
3.216080e-01,-1.891993e+01,-2.851781e+01,-4.729983e+01,-7.972529e+01
3.316583e-01,-1.816951e+01,-2.918811e+01,-4.542379e+01,-8.094530e+01
3.417085e-01,-1.741910e+01,-2.984503e+01,-4.354774e+01,-8.208825e+01
3.517588e-01,-1.666868e+01,-3.048856e+01,-4.167169e+01,-8.315415e+01
3.618090e-01,-1.591826e+01,-3.111870e+01,-3.979564e+01,-8.414299e+01
3.718593e-01,-1.516784e+01,-3.173545e+01,-3.791960e+01,-8.505477e+01
3.819095e-01,-1.441742e+01,-3.233882e+01,-3.604355e+01,-8.588950e+01
3.919598e-01,-1.366700e+01,-3.292881e+01,-3.416750e+01,-8.664718e+01
4.020101e-01,-1.291658e+01,-3.350540e+01,-3.229146e+01,-8.732780e+01
4.120603e-01,-1.216616e+01,-3.406861e+01,-3.041541e+01,-8.793137e+01
4.221106e-01,-1.141575e+01,-3.461843e+01,-2.853936e+01,-8.845788e+01
4.321608e-01,-1.066533e+01,-3.515487e+01,-2.666332e+01,-8.890733e+01
4.422111e-01,-9.914908e+00,-3.567792e+01,-2.478727e+01,-8.927973e+01
4.522613e-01,-9.164489e+00,-3.618758e+01,-2.291122e+01,-8.957508e+01
4.623116e-01,-8.414070e+00,-3.668386e+01,-2.103518e+01,-8.979337e+01
4.723618e-01,-7.663652e+00,-3.716674e+01,-1.915913e+01,-8.993460e+01
4.824121e-01,-6.913233e+00,-3.763625e+01,-1.728308e+01,-8.999878e+01
4.924623e-01,-6.162814e+00,-3.809236e+01,-1.540704e+01,-8.906432e+01
5.025126e-01,-5.600000e+00,-3.853509e+01,-1.400000e+01,-8.765712e+01
5.125628e-01,-5.600000e+00,-3.896443e+01,-1.400000e+01,-8.624992e+01
5.226131e-01,-5.600000e+00,-3.938039e+01,-1.400000e+01,-8.484272e+01
5.326633e-01,-5.600000e+00,-3.978296e+01,-1.400000e+01,-8.343551e+01
5.427136e-01,-5.600000e+00,-4.017214e+01,-1.400000e+01,-8.202831e+01
5.527638e-01,-5.600000e+00,-4.054794e+01,-1.400000e+01,-8.062111e+01
5.628141e-01,-5.600000e+00,-4.091035e+01,-1.400000e+01,-7.921391e+01
5.728643e-01,-5.600000e+00,-4.125937e+01,-1.400000e+01,-7.780670e+01
5.829146e-01,-5.600000e+00,-4.159501e+01,-1.400000e+01,-7.639950e+01
5.929648e-01,-5.600000e+00,-4.191726e+01,-1.400000e+01,-7.499230e+01
6.030151e-01,-5.600000e+00,-4.222612e+01,-1.400000e+01,-7.358510e+01
6.130653e-01,-5.600000e+00,-4.252159e+01,-1.400000e+01,-7.217790e+01
6.231156e-01,-5.600000e+00,-4.280368e+01,-1.400000e+01,-7.077069e+01
6.331658e-01,-5.600000e+00,-4.307239e+01,-1.400000e+01,-6.936349e+01
6.432161e-01,-5.600000e+00,-4.332770e+01,-1.400000e+01,-6.795629e+01
6.532663e-01,-5.600000e+00,-4.356963e+01,-1.400000e+01,-6.654909e+01
6.633166e-01,-5.600000e+00,-4.379817e+01,-1.400000e+01,-6.514188e+01
6.733668e-01,-5.600000e+00,-4.401333e+01,-1.400000e+01,-6.373468e+01
6.834171e-01,-5.600000e+00,-4.421510e+01,-1.400000e+01,-6.232748e+01
6.934673e-01,-5.600000e+00,-4.440348e+01,-1.400000e+01,-6.092028e+01
7.035176e-01,-5.600000e+00,-4.457848e+01,-1.400000e+01,-5.951308e+01
7.135678e-01,-5.600000e+00,-4.474009e+01,-1.400000e+01,-5.810587e+01
7.236181e-01,-5.600000e+00,-4.488831e+01,-1.400000e+01,-5.669867e+01
7.336683e-01,-5.600000e+00,-4.502315e+01,-1.400000e+01,-5.529147e+01
7.437186e-01,-5.600000e+00,-4.514460e+01,-1.400000e+01,-5.388427e+01
7.537688e-01,-5.600000e+00,-4.525266e+01,-1.400000e+01,-5.247706e+01
7.638191e-01,-5.600000e+00,-4.534734e+01,-1.400000e+01,-5.106986e+01
7.738693e-01,-5.600000e+00,-4.542863e+01,-1.400000e+01,-4.966266e+01
7.839196e-01,-5.600000e+00,-4.549653e+01,-1.400000e+01,-4.825546e+01
7.939698e-01,-5.600000e+00,-4.555105e+01,-1.400000e+01,-4.684826e+01
8.040201e-01,-5.600000e+00,-4.559218e+01,-1.400000e+01,-4.544105e+01
8.140704e-01,-5.600000e+00,-4.561992e+01,-1.400000e+01,-4.403385e+01
8.241206e-01,-5.600000e+00,-4.563428e+01,-1.400000e+01,-4.262665e+01
8.341709e-01,-5.600000e+00,-4.537660e+01,-1.400000e+01,-4.121945e+01
8.442211e-01,-5.600000e+00,-4.476875e+01,-1.400000e+01,-3.981224e+01
8.542714e-01,-5.600000e+00,-4.416091e+01,-1.400000e+01,-3.840504e+01
8.643216e-01,-5.600000e+00,-4.355307e+01,-1.400000e+01,-3.699784e+01
8.743719e-01,-5.600000e+00,-4.294522e+01,-1.400000e+01,-3.559064e+01
8.844221e-01,-5.600000e+00,-4.233738e+01,-1.400000e+01,-3.418344e+01
8.944724e-01,-5.600000e+00,-4.172954e+01,-1.400000e+01,-3.277623e+01
9.045226e-01,-5.600000e+00,-4.112169e+01,-1.400000e+01,-3.136903e+01
9.145729e-01,-5.600000e+00,-4.051385e+01,-1.400000e+01,-2.996183e+01
9.246231e-01,-5.600000e+00,-3.990601e+01,-1.400000e+01,-2.855463e+01
9.346734e-01,-5.600000e+00,-3.929816e+01,-1.400000e+01,-2.714742e+01
9.447236e-01,-5.600000e+00,-3.869032e+01,-1.400000e+01,-2.574022e+01
9.547739e-01,-5.600000e+00,-3.808248e+01,-1.400000e+01,-2.433302e+01
9.648241e-01,-5.600000e+00,-3.747464e+01,-1.400000e+01,-2.292582e+01
9.748744e-01,-5.600000e+00,-3.686679e+01,-1.400000e+01,-2.151862e+01
9.849246e-01,-5.600000e+00,-3.625895e+01,-1.400000e+01,-2.011141e+01
9.949749e-01,-5.600000e+00,-3.565111e+01,-1.400000e+01,-1.870421e+01
1.005025e+00,-5.600000e+00,-3.504326e+01,-1.400000e+01,-1.800061e+01
1.015075e+00,-5.600000e+00,-3.443542e+01,-1.400000e+01,-1.800061e+01
