

29/03/2026 09:38:12




case0


P	Axial Strain	

case0	case0	
caseo	caseo	
N	strain	

0	0	
2.501E+6	-.2800E-3	
4.836E+6	-.5600E-3	
6.820E+6	-.8400E-3	
8.332E+6	-1.120E-3	
9.340E+6	-1.400E-3	
9.892E+6	-1.680E-3	
1.01E+7	-1.960E-3	
9.998E+6	-2.240E-3	
9.741E+6	-2.520E-3	
9.378E+6	-2.800E-3	
8.037E+6	-3.660E-3	
5.561E+6	-4.520E-3	
2.329E+6	-5.380E-3	
0	-6.240E-3	
0	-7.100E-3	
0	-7.960E-3	
0	-8.820E-3	
0	-9.680E-3	
0	-10.54E-3	
0	-11.40E-3	
0	-12.26E-3	
0	-13.12E-3	
0	-13.98E-3	
0	-14.84E-3	
0	-15.70E-3	
0	-16.56E-3	
0	-17.42E-3	
0	-18.28E-3	
0	-19.14E-3	
0	-20.00E-3	
