

28/03/2026 14:38:40




coba


P	Axial Strain	

60x60(3)	60x60(3)	
m3	m3	
N	strain	

0	0	
4.330E+6	-.2800E-3	
8.583E+6	-.5600E-3	
1.27E+7	-.8400E-3	
1.66E+7	-1.120E-3	
2.03E+7	-1.400E-3	
2.37E+7	-1.680E-3	
2.63E+7	-1.960E-3	
2.75E+7	-2.240E-3	
2.70E+7	-2.520E-3	
2.60E+7	-2.800E-3	
2.52E+7	-3.140E-3	
2.50E+7	-3.480E-3	
2.51E+7	-3.820E-3	
2.52E+7	-4.160E-3	
2.54E+7	-4.500E-3	
2.54E+7	-4.840E-3	
2.53E+7	-5.180E-3	
2.52E+7	-5.520E-3	
2.49E+7	-5.860E-3	
2.47E+7	-6.200E-3	
2.45E+7	-6.540E-3	
2.42E+7	-6.880E-3	
2.39E+7	-7.220E-3	
2.36E+7	-7.560E-3	
2.33E+7	-7.900E-3	
2.30E+7	-8.240E-3	
2.27E+7	-8.580E-3	
2.23E+7	-8.920E-3	
2.20E+7	-9.260E-3	
2.17E+7	-9.600E-3	
