Axial_Strain Axial_Load(kN)
1.250000e-05 2.413303e+02
2.500000e-05 4.816618e+02
3.750000e-05 7.209945e+02
5.000000e-05 9.593285e+02
6.250000e-05 1.196664e+03
7.500000e-05 1.433000e+03
8.750000e-05 1.668338e+03
1.000000e-04 1.902676e+03
1.125000e-04 2.136017e+03
1.250000e-04 2.368358e+03
1.375000e-04 2.599700e+03
1.500000e-04 2.830044e+03
1.625000e-04 3.059389e+03
1.750000e-04 3.287735e+03
1.875000e-04 3.515082e+03
2.000000e-04 3.741431e+03
2.125000e-04 3.966781e+03
2.250000e-04 4.191132e+03
2.375000e-04 4.414484e+03
2.500000e-04 4.636837e+03
2.625000e-04 4.858192e+03
2.750000e-04 5.078548e+03
2.875000e-04 5.297905e+03
3.000000e-04 5.516263e+03
3.125000e-04 5.733623e+03
3.250000e-04 5.949984e+03
3.375000e-04 6.165346e+03
3.500000e-04 6.379709e+03
3.625000e-04 6.593073e+03
3.750000e-04 6.805439e+03
3.875000e-04 7.016806e+03
4.000000e-04 7.227174e+03
4.125000e-04 7.436543e+03
4.250000e-04 7.644914e+03
4.375000e-04 7.852286e+03
4.500000e-04 8.058659e+03
4.625000e-04 8.264033e+03
4.750000e-04 8.468408e+03
4.875000e-04 8.671785e+03
5.000000e-04 8.874163e+03
5.125000e-04 9.075542e+03
5.250000e-04 9.275922e+03
5.375000e-04 9.475303e+03
5.500000e-04 9.673686e+03
5.625000e-04 9.871070e+03
5.750000e-04 1.006746e+04
5.875000e-04 1.026284e+04
6.000000e-04 1.045723e+04
6.125000e-04 1.065062e+04
6.250000e-04 1.084301e+04
6.375000e-04 1.103440e+04
6.500000e-04 1.122479e+04
6.625000e-04 1.141418e+04
6.750000e-04 1.160258e+04
6.875000e-04 1.178998e+04
7.000000e-04 1.197637e+04
7.125000e-04 1.216177e+04
7.250000e-04 1.234617e+04
7.375000e-04 1.252957e+04
7.500000e-04 1.271197e+04
7.625000e-04 1.289337e+04
7.750000e-04 1.307378e+04
7.875000e-04 1.325318e+04
8.000000e-04 1.343159e+04
8.125000e-04 1.360900e+04
8.250000e-04 1.378540e+04
8.375000e-04 1.396081e+04
8.500000e-04 1.413522e+04
8.625000e-04 1.430863e+04
8.750000e-04 1.448104e+04
8.875000e-04 1.465245e+04
9.000000e-04 1.482287e+04
9.125000e-04 1.499228e+04
9.250000e-04 1.516069e+04
9.375000e-04 1.532811e+04
9.500000e-04 1.549452e+04
9.625000e-04 1.565994e+04
9.750000e-04 1.582435e+04
9.875000e-04 1.598776e+04
1.000000e-03 1.615018e+04
1.012500e-03 1.631159e+04
1.025000e-03 1.647200e+04
1.037500e-03 1.663142e+04
1.050000e-03 1.678983e+04
