curvature_1_per_m,curvature_1_per_mm,moment_Nmm
3.969639369967276569e-20,3.969639369967276583e-23,1.091393642127513885e-11
8.577964163171941225e-04,8.577964163171941326e-07,2.208108532073794049e+05
1.715592832634388245e-03,1.715592832634388265e-06,4.210253920592022478e+05
2.573389248951582584e-03,2.573389248951582398e-06,5.459005950389959617e+05
3.431185665268776490e-03,3.431185665268776531e-06,6.426702740543058608e+05
4.288982081585970829e-03,4.288982081585971087e-06,7.261482987462029560e+05
5.146778497903166036e-03,5.146778497903165643e-06,8.010411601748083485e+05
6.004574914220360375e-03,6.004574914220360199e-06,8.687448886242524022e+05
6.862371330537553847e-03,6.862371330537553908e-06,9.157188344395136228e+05
7.720167746854747319e-03,7.720167746854747617e-06,9.430030487331778277e+05
8.577964163171941658e-03,8.577964163171942173e-06,9.587988353307119105e+05
9.435760579489136865e-03,9.435760579489136729e-06,9.629879131404170766e+05
1.029355699580633207e-02,1.029355699580633129e-05,9.579084349746368825e+05
1.115135341212352554e-02,1.115135341212352584e-05,9.459726546080135740e+05
1.200914982844072075e-02,1.200914982844072040e-05,9.277363043861327460e+05
1.286694624475791422e-02,1.286694624475791495e-05,9.274305438922037138e+05
1.372474266107510943e-02,1.372474266107510951e-05,9.316078536904008361e+05
1.458253907739230464e-02,1.458253907739230407e-05,9.423945122859902913e+05
1.544033549370949811e-02,1.544033549370949862e-05,9.528070384722688468e+05
1.629813191002669331e-02,1.629813191002669318e-05,9.619398560090875253e+05
1.715592832634388679e-02,1.715592832634388773e-05,9.717030184958759928e+05
1.801372474266108373e-02,1.801372474266108229e-05,9.809347103478398640e+05
1.887152115897827720e-02,1.887152115897827685e-05,9.897253001771867275e+05
1.972931757529547067e-02,1.972931757529547140e-05,9.989139901066800812e+05
2.058711399161266761e-02,2.058711399161266596e-05,1.007510692585162818e+06
2.144491040792986108e-02,2.144491040792986052e-05,1.015362178485899582e+06
2.230270682424705456e-02,2.230270682424705507e-05,1.022403238261057064e+06
2.316050324056424803e-02,2.316050324056424963e-05,1.028771760389016825e+06
2.401829965688144497e-02,2.401829965688144418e-05,1.034233370637026383e+06
2.487609607319863844e-02,2.487609607319863874e-05,1.039090527612969279e+06
2.573389248951583191e-02,2.573389248951583330e-05,1.043582838156243321e+06
2.659168890583302886e-02,2.659168890583302785e-05,1.047819111619789852e+06
2.744948532215022233e-02,2.744948532215022241e-05,1.051862328090613708e+06
2.830728173846741580e-02,2.830728173846741696e-05,1.055746792140341597e+06
2.916507815478461274e-02,2.916507815478461152e-05,1.059490436093437020e+06
3.002287457110180621e-02,3.002287457110180608e-05,1.063166297121109208e+06
3.088067098741899622e-02,3.088067098741899725e-05,1.066888538352022180e+06
3.173846740373618969e-02,3.173846740373619180e-05,1.070492437910879962e+06
3.259626382005338663e-02,3.259626382005338636e-05,1.073977911486100173e+06
3.345406023637058357e-02,3.345406023637058091e-05,1.077203615434245905e+06
3.431185665268777357e-02,3.431185665268777547e-05,1.080297456373848952e+06
3.516965306900497051e-02,3.516965306900497003e-05,1.083063589603417786e+06
3.602744948532216746e-02,3.602744948532216458e-05,1.085676952737887157e+06
3.688524590163935746e-02,3.688524590163935914e-05,1.088189946171825984e+06
3.774304231795655440e-02,3.774304231795655369e-05,1.090600232981172157e+06
3.860083873427375134e-02,3.860083873427374825e-05,1.092905298555266345e+06
3.945863515059094134e-02,3.945863515059094281e-05,1.095102462429285981e+06
4.031643156690813828e-02,4.031643156690813736e-05,1.097188881007158430e+06
4.117422798322533523e-02,4.117422798322533192e-05,1.098788005795864854e+06
4.203202439954252523e-02,4.203202439954252647e-05,1.099768125317923492e+06
4.288982081585972217e-02,4.288982081585972103e-05,1.100663168003509054e+06
4.374761723217691217e-02,4.374761723217691559e-05,1.101499586987310788e+06
4.460541364849410911e-02,4.460541364849411014e-05,1.102379248993532499e+06
4.546321006481130605e-02,4.546321006481130470e-05,1.103174713515673997e+06
4.632100648112849606e-02,4.632100648112849926e-05,1.103883557846688898e+06
4.717880289744569300e-02,4.717880289744569381e-05,1.104420851866969606e+06
4.803659931376288994e-02,4.803659931376288837e-05,1.104164979864454595e+06
4.889439573008007994e-02,4.889439573008008292e-05,1.103843484710644931e+06
4.975219214639727688e-02,4.975219214639727748e-05,1.103454427909289720e+06
5.060998856271447383e-02,5.060998856271447204e-05,1.102995752581522800e+06
5.146778497903166383e-02,5.146778497903166659e-05,1.102458715332489694e+06
5.232558139534886077e-02,5.232558139534886115e-05,1.101809503993432969e+06
5.318337781166605771e-02,5.318337781166605570e-05,1.101079899298584787e+06
5.404117422798324771e-02,5.404117422798325026e-05,1.100267105667404598e+06
5.489897064430044465e-02,5.489897064430044482e-05,1.099111893398520071e+06
5.575676706061764160e-02,5.575676706061763937e-05,1.097344724086567760e+06
5.661456347693483160e-02,5.661456347693483393e-05,1.095510113685399760e+06
5.747235989325202854e-02,5.747235989325202849e-05,1.093605661017110804e+06
5.833015630956922548e-02,5.833015630956922304e-05,1.091628802118859487e+06
5.918795272588641548e-02,5.918795272588641760e-05,1.089576794660176616e+06
6.004574914220361243e-02,6.004574914220361215e-05,1.087446700496048667e+06
6.090354555852080937e-02,6.090354555852080671e-05,1.085241696698698914e+06
6.176134197483799243e-02,6.176134197483799449e-05,1.083215841308015399e+06
6.261913839115518243e-02,6.261913839115518905e-05,1.081117545541301602e+06
6.347693480747237937e-02,6.347693480747238360e-05,1.078836533345596399e+06
6.433473122378957632e-02,6.433473122378957816e-05,1.075844406773887342e+06
6.519252764010677326e-02,6.519252764010677271e-05,1.072792954509501345e+06
6.605032405642397020e-02,6.605032405642396727e-05,1.069680069774327101e+06
6.690812047274116714e-02,6.690812047274116183e-05,1.066413825259568403e+06
6.776591688905835020e-02,6.776591688905835638e-05,1.063042067518617259e+06
6.862371330537554714e-02,6.862371330537555094e-05,1.059527998346138513e+06
6.948150972169274409e-02,6.948150972169274550e-05,1.055909550974336918e+06
7.033930613800994103e-02,7.033930613800994005e-05,1.052178370076549938e+06
7.119710255432713797e-02,7.119710255432713461e-05,1.048324762835589005e+06
7.205489897064433491e-02,7.205489897064432916e-05,1.044337369831085671e+06
7.291269538696151797e-02,7.291269538696152372e-05,1.040202724370782380e+06
7.377049180327871492e-02,7.377049180327871828e-05,1.034834984206396388e+06
7.462828821959591186e-02,7.462828821959591283e-05,1.029196682660613675e+06
7.548608463591310880e-02,7.548608463591310739e-05,1.023324720936028287e+06
7.634388105223030574e-02,7.634388105223030194e-05,1.017758626086793491e+06
7.720167746854750268e-02,7.720167746854749650e-05,1.012881866534122615e+06
7.805947388486468574e-02,7.805947388486469106e-05,1.008271716420435114e+06
7.891727030118188269e-02,7.891727030118188561e-05,1.003612683457949548e+06
7.977506671749907963e-02,7.977506671749908017e-05,9.988525507738527376e+05
8.063286313381627657e-02,8.063286313381627473e-05,9.940233451365977526e+05
8.149065955013347351e-02,8.149065955013346928e-05,9.895772198268650100e+05
8.234845596645067045e-02,8.234845596645066384e-05,9.856105277991356561e+05
8.320625238276785351e-02,8.320625238276785839e-05,9.815877793763799127e+05
8.406404879908505046e-02,8.406404879908505295e-05,9.766632703878487227e+05
8.492184521540224740e-02,8.492184521540224751e-05,9.716445915383698884e+05
8.577964163171944434e-02,8.577964163171944206e-05,9.663523935989234596e+05
