f'cc28MPa = 46.01 MPa, ecc28MPa = 0.0084
f'cc35MPa = 53.73 MPa, ecc35MPa = 0.0074
f'cc42MPa = 61.26 MPa, ecc42MPa = 0.0066
f'cc70MPa = 90.47 MPa, ecc70MPa = 0.0049
Axial_Strain Axial_Load(kN)
1.250000e-05 1.203756e+02
2.500000e-05 2.403135e+02
3.750000e-05 3.598138e+02
5.000000e-05 4.788763e+02
6.250000e-05 5.975012e+02
7.500000e-05 7.156885e+02
8.750000e-05 8.334380e+02
1.000000e-04 9.507499e+02
1.125000e-04 1.067624e+03
1.250000e-04 1.184061e+03
1.375000e-04 1.300059e+03
1.500000e-04 1.415621e+03
1.625000e-04 1.530744e+03
1.750000e-04 1.645430e+03
1.875000e-04 1.759678e+03
2.000000e-04 1.873489e+03
2.125000e-04 1.986861e+03
2.250000e-04 2.099797e+03
2.375000e-04 2.212294e+03
2.500000e-04 2.324354e+03
2.625000e-04 2.435976e+03
2.750000e-04 2.547160e+03
2.875000e-04 2.657907e+03
3.000000e-04 2.768216e+03
3.125000e-04 2.878088e+03
3.250000e-04 2.987521e+03
3.375000e-04 3.096517e+03
3.500000e-04 3.205076e+03
3.625000e-04 3.313197e+03
3.750000e-04 3.420880e+03
3.875000e-04 3.528125e+03
4.000000e-04 3.634933e+03
4.125000e-04 3.741303e+03
4.250000e-04 3.847235e+03
4.375000e-04 3.952730e+03
4.500000e-04 4.057787e+03
4.625000e-04 4.162406e+03
4.750000e-04 4.266588e+03
4.875000e-04 4.370332e+03
5.000000e-04 4.473638e+03
5.125000e-04 4.576507e+03
5.250000e-04 4.678938e+03
5.375000e-04 4.780931e+03
5.500000e-04 4.882487e+03
5.625000e-04 4.983605e+03
5.750000e-04 5.084285e+03
5.875000e-04 5.184528e+03
6.000000e-04 5.284333e+03
6.125000e-04 5.383700e+03
6.250000e-04 5.482629e+03
6.375000e-04 5.581121e+03
6.500000e-04 5.679176e+03
6.625000e-04 5.776792e+03
6.750000e-04 5.873971e+03
6.875000e-04 5.970712e+03
7.000000e-04 6.067016e+03
7.125000e-04 6.162882e+03
7.250000e-04 6.258310e+03
7.375000e-04 6.353300e+03
7.500000e-04 6.447853e+03
7.625000e-04 6.541968e+03
7.750000e-04 6.635646e+03
7.875000e-04 6.728886e+03
8.000000e-04 6.821688e+03
8.125000e-04 6.914052e+03
8.250000e-04 7.005979e+03
8.375000e-04 7.097468e+03
8.500000e-04 7.188519e+03
8.625000e-04 7.279133e+03
8.750000e-04 7.369309e+03
8.875000e-04 7.459047e+03
9.000000e-04 7.548347e+03
9.125000e-04 7.637210e+03
9.250000e-04 7.725635e+03
9.375000e-04 7.813623e+03
9.500000e-04 7.901172e+03
9.625000e-04 7.988284e+03
9.750000e-04 8.074958e+03
9.875000e-04 8.161194e+03
1.000000e-03 8.246993e+03
1.012500e-03 8.332354e+03
1.025000e-03 8.417277e+03
1.037500e-03 8.501762e+03
1.050000e-03 8.585809e+03
1.062500e-03 8.669419e+03
1.075000e-03 8.752590e+03
1.087500e-03 8.835324e+03
1.100000e-03 8.917620e+03
1.112500e-03 8.999478e+03
1.125000e-03 9.080898e+03
1.137500e-03 9.161879e+03
1.150000e-03 9.242423e+03
1.162500e-03 9.322529e+03
1.175000e-03 9.402197e+03
1.187500e-03 9.481426e+03
1.200000e-03 9.560217e+03
1.212500e-03 9.638570e+03
1.225000e-03 9.716485e+03
1.237500e-03 9.793961e+03
1.250000e-03 9.870999e+03
1.262500e-03 9.947598e+03
1.275000e-03 1.002376e+04
1.287500e-03 1.009948e+04
1.300000e-03 1.017476e+04
1.312500e-03 1.024961e+04
1.325000e-03 1.032401e+04
1.337500e-03 1.039798e+04
1.350000e-03 1.047151e+04
1.362500e-03 1.054459e+04
1.375000e-03 1.061724e+04
1.387500e-03 1.068945e+04
1.400000e-03 1.076122e+04
1.412500e-03 1.083255e+04
1.425000e-03 1.090343e+04
1.437500e-03 1.097388e+04
1.450000e-03 1.104389e+04
1.462500e-03 1.111345e+04
1.475000e-03 1.118258e+04
1.487500e-03 1.125126e+04
1.500000e-03 1.131950e+04
1.512500e-03 1.138730e+04
1.525000e-03 1.145466e+04
1.537500e-03 1.152157e+04
1.550000e-03 1.158804e+04
1.562500e-03 1.165407e+04
1.575000e-03 1.171965e+04
1.587500e-03 1.178479e+04
1.600000e-03 1.184948e+04
1.612500e-03 1.191373e+04
1.625000e-03 1.197753e+04
1.637500e-03 1.204089e+04
1.650000e-03 1.210379e+04
1.662500e-03 1.216625e+04
1.675000e-03 1.222826e+04
1.687500e-03 1.228982e+04
1.700000e-03 1.235093e+04
1.712500e-03 1.241159e+04
1.725000e-03 1.247180e+04
1.737500e-03 1.253155e+04
1.750000e-03 1.259085e+04
1.762500e-03 1.264970e+04
1.775000e-03 1.270809e+04
1.787500e-03 1.276602e+04
1.800000e-03 1.282349e+04
1.812500e-03 1.288050e+04
1.825000e-03 1.293705e+04
1.837500e-03 1.299314e+04
1.850000e-03 1.304876e+04
1.862500e-03 1.310391e+04
1.875000e-03 1.315860e+04
1.887500e-03 1.321282e+04
1.900000e-03 1.326657e+04
1.912500e-03 1.331984e+04
1.925000e-03 1.337264e+04
1.937500e-03 1.342496e+04
1.950000e-03 1.347680e+04
1.962500e-03 1.352816e+04
1.975000e-03 1.357904e+04
1.987500e-03 1.362942e+04
2.000000e-03 1.367932e+04
2.012500e-03 1.369943e+04
2.025000e-03 1.371941e+04
2.037500e-03 1.373927e+04
2.050000e-03 1.375899e+04
