f'cc28MPa = 46.01 MPa, ecc28MPa = 0.0084
f'cc35MPa = 53.73 MPa, ecc35MPa = 0.0074
f'cc42MPa = 61.26 MPa, ecc42MPa = 0.0066
f'cc70MPa = 90.47 MPa, ecc70MPa = 0.0049
Axial_Strain Axial_Load(kN)
1.250000e-05 1.433364e+02
2.500000e-05 2.861319e+02
3.750000e-05 4.283867e+02
5.000000e-05 5.701006e+02
6.250000e-05 7.112738e+02
7.500000e-05 8.519062e+02
8.750000e-05 9.919978e+02
1.000000e-04 1.131549e+03
1.125000e-04 1.270559e+03
1.250000e-04 1.409028e+03
1.375000e-04 1.546956e+03
1.500000e-04 1.684344e+03
1.625000e-04 1.821191e+03
1.750000e-04 1.957497e+03
1.875000e-04 2.093262e+03
2.000000e-04 2.228486e+03
2.125000e-04 2.363170e+03
2.250000e-04 2.497313e+03
2.375000e-04 2.630915e+03
2.500000e-04 2.763976e+03
2.625000e-04 2.896497e+03
2.750000e-04 3.028476e+03
2.875000e-04 3.159915e+03
3.000000e-04 3.290813e+03
3.125000e-04 3.421171e+03
3.250000e-04 3.550987e+03
3.375000e-04 3.680263e+03
3.500000e-04 3.808998e+03
3.625000e-04 3.937192e+03
3.750000e-04 4.064845e+03
3.875000e-04 4.191958e+03
4.000000e-04 4.318530e+03
4.125000e-04 4.444561e+03
4.250000e-04 4.570051e+03
4.375000e-04 4.695000e+03
4.500000e-04 4.819409e+03
4.625000e-04 4.943276e+03
4.750000e-04 5.066603e+03
4.875000e-04 5.189390e+03
5.000000e-04 5.311635e+03
5.125000e-04 5.433340e+03
5.250000e-04 5.554503e+03
5.375000e-04 5.675127e+03
5.500000e-04 5.795209e+03
5.625000e-04 5.914750e+03
5.750000e-04 6.033751e+03
5.875000e-04 6.152211e+03
6.000000e-04 6.270130e+03
6.125000e-04 6.387508e+03
6.250000e-04 6.504346e+03
6.375000e-04 6.620642e+03
6.500000e-04 6.736398e+03
6.625000e-04 6.851613e+03
6.750000e-04 6.966288e+03
6.875000e-04 7.080421e+03
7.000000e-04 7.194014e+03
7.125000e-04 7.307066e+03
7.250000e-04 7.419577e+03
7.375000e-04 7.531547e+03
7.500000e-04 7.642977e+03
7.625000e-04 7.753865e+03
7.750000e-04 7.864213e+03
7.875000e-04 7.974020e+03
8.000000e-04 8.083287e+03
8.125000e-04 8.192012e+03
8.250000e-04 8.300197e+03
8.375000e-04 8.407841e+03
8.500000e-04 8.514944e+03
8.625000e-04 8.621506e+03
8.750000e-04 8.727527e+03
8.875000e-04 8.833008e+03
9.000000e-04 8.937948e+03
9.125000e-04 9.042347e+03
9.250000e-04 9.146205e+03
9.375000e-04 9.249522e+03
9.500000e-04 9.352298e+03
9.625000e-04 9.454534e+03
9.750000e-04 9.556229e+03
9.875000e-04 9.657382e+03
1.000000e-03 9.757995e+03
1.012500e-03 9.858067e+03
1.025000e-03 9.957598e+03
1.037500e-03 1.005659e+04
1.050000e-03 1.015504e+04
1.062500e-03 1.025295e+04
1.075000e-03 1.035031e+04
1.087500e-03 1.044714e+04
1.100000e-03 1.054342e+04
1.112500e-03 1.063917e+04
1.125000e-03 1.073437e+04
1.137500e-03 1.082903e+04
1.150000e-03 1.092315e+04
1.162500e-03 1.101673e+04
1.175000e-03 1.110977e+04
1.187500e-03 1.120227e+04
1.200000e-03 1.129422e+04
1.212500e-03 1.138564e+04
1.225000e-03 1.147651e+04
1.237500e-03 1.156684e+04
1.250000e-03 1.165663e+04
1.262500e-03 1.174588e+04
1.275000e-03 1.183459e+04
1.287500e-03 1.192275e+04
1.300000e-03 1.201037e+04
1.312500e-03 1.209745e+04
1.325000e-03 1.218399e+04
1.337500e-03 1.226999e+04
1.350000e-03 1.235544e+04
1.362500e-03 1.244035e+04
1.375000e-03 1.252472e+04
1.387500e-03 1.260855e+04
1.400000e-03 1.269183e+04
1.412500e-03 1.277457e+04
1.425000e-03 1.285677e+04
1.437500e-03 1.293842e+04
1.450000e-03 1.301953e+04
1.462500e-03 1.310009e+04
1.475000e-03 1.318011e+04
1.487500e-03 1.325959e+04
1.500000e-03 1.333852e+04
1.512500e-03 1.341690e+04
1.525000e-03 1.349474e+04
1.537500e-03 1.357204e+04
1.550000e-03 1.364879e+04
1.562500e-03 1.372499e+04
1.575000e-03 1.380064e+04
1.587500e-03 1.387575e+04
1.600000e-03 1.395030e+04
1.612500e-03 1.402431e+04
1.625000e-03 1.409777e+04
1.637500e-03 1.417068e+04
1.650000e-03 1.424304e+04
1.662500e-03 1.431485e+04
1.675000e-03 1.438611e+04
1.687500e-03 1.445681e+04
1.700000e-03 1.452696e+04
1.712500e-03 1.459655e+04
1.725000e-03 1.466559e+04
1.737500e-03 1.473408e+04
1.750000e-03 1.480200e+04
1.762500e-03 1.486937e+04
1.775000e-03 1.493618e+04
1.787500e-03 1.500243e+04
1.800000e-03 1.506812e+04
1.812500e-03 1.513324e+04
1.825000e-03 1.519780e+04
1.837500e-03 1.526179e+04
1.850000e-03 1.532521e+04
1.862500e-03 1.538807e+04
1.875000e-03 1.545035e+04
1.887500e-03 1.551207e+04
1.900000e-03 1.557320e+04
1.912500e-03 1.563376e+04
1.925000e-03 1.569374e+04
1.937500e-03 1.575315e+04
1.950000e-03 1.581196e+04
1.962500e-03 1.587020e+04
1.975000e-03 1.592784e+04
1.987500e-03 1.598490e+04
2.000000e-03 1.604136e+04
2.012500e-03 1.606207e+04
2.025000e-03 1.608263e+04
2.037500e-03 1.610303e+04
2.050000e-03 1.612326e+04
2.062500e-03 1.614333e+04
2.075000e-03 1.616324e+04
2.087500e-03 1.618296e+04
2.100000e-03 1.620252e+04
2.112500e-03 1.622189e+04
2.125000e-03 1.624108e+04
2.137500e-03 1.626009e+04
2.150000e-03 1.627890e+04
2.162500e-03 1.629752e+04
2.175000e-03 1.631594e+04
2.187500e-03 1.633415e+04
