

15/04/2026 22:45:54




hw2


Myy	Kyy	Myy	Kyy	Myy	Kyy	Myy	Kyy	Myy	Kyy	Myy	Kyy	

case1	case1	case2	case2	case3	case3	case4	case4	case5	case5	case6	case6	
MC1	MC1	MC2	MC2	MC3	MC3	MC4	MC4	MC5	MC5	MC6	MC6	
N-m	1/m	N-m	1/m	N-m	1/m	N-m	1/m	N-m	1/m	N-m	1/m	

0	0	0	0	0	0	0	0	0	0	0	0	
126.7E+3	1.173E-3	167.7E+3	1.550E-3	127.1E+3	1.148E-3	167.6E+3	1.512E-3	127.6E+3	1.129E-3	167.0E+3	1.483E-3	
253.5E+3	2.346E-3	333.2E+3	3.100E-3	253.6E+3	2.296E-3	334.0E+3	3.023E-3	255.4E+3	2.258E-3	334.6E+3	2.965E-3	
377.9E+3	3.519E-3	495.9E+3	4.650E-3	380.7E+3	3.444E-3	499.4E+3	4.535E-3	382.0E+3	3.387E-3	500.7E+3	4.448E-3	
500.9E+3	4.692E-3	654.1E+3	6.200E-3	505.4E+3	4.592E-3	661.8E+3	6.046E-3	509.0E+3	4.515E-3	666.1E+3	5.931E-3	
620.7E+3	5.865E-3	806.1E+3	7.750E-3	629.5E+3	5.740E-3	819.3E+3	7.558E-3	634.0E+3	5.644E-3	828.5E+3	7.414E-3	
656.9E+3	7.038E-3	851.4E+3	9.300E-3	665.9E+3	6.888E-3	867.2E+3	9.069E-3	673.3E+3	6.773E-3	877.8E+3	8.896E-3	
692.5E+3	8.211E-3	895.1E+3	10.85E-3	702.3E+3	8.036E-3	912.0E+3	10.58E-3	709.6E+3	7.902E-3	924.8E+3	10.38E-3	
707.6E+3	9.385E-3	917.2E+3	12.40E-3	718.2E+3	9.184E-3	934.9E+3	12.09E-3	725.6E+3	9.031E-3	947.9E+3	11.86E-3	
721.7E+3	10.56E-3	934.6E+3	13.95E-3	733.5E+3	10.33E-3	955.2E+3	13.60E-3	743.0E+3	10.16E-3	970.5E+3	13.34E-3	
735.9E+3	11.73E-3	953.4E+3	15.50E-3	749.9E+3	11.48E-3	974.2E+3	15.12E-3	758.8E+3	11.29E-3	992.6E+3	14.83E-3	
764.2E+3	17.02E-3	991.6E+3	19.82E-3	777.9E+3	16.57E-3	1.012E+6	19.47E-3	790.4E+3	16.49E-3	1.029E+6	18.97E-3	
782.1E+3	22.32E-3	1.010E+6	24.14E-3	796.5E+3	21.66E-3	1.030E+6	23.82E-3	812.2E+3	21.68E-3	1.047E+6	23.11E-3	
802.4E+3	27.61E-3	1.026E+6	28.46E-3	817.8E+3	26.76E-3	1.045E+6	28.17E-3	835.6E+3	26.88E-3	1.061E+6	27.26E-3	
823.2E+3	32.90E-3	1.042E+6	32.78E-3	834.6E+3	31.85E-3	1.058E+6	32.52E-3	846.7E+3	32.08E-3	1.072E+6	31.40E-3	
836.2E+3	38.19E-3	1.053E+6	37.10E-3	845.2E+3	36.94E-3	1.070E+6	36.87E-3	857.1E+3	37.27E-3	1.080E+6	35.54E-3	
846.5E+3	43.48E-3	1.061E+6	41.42E-3	854.4E+3	42.03E-3	1.079E+6	41.22E-3	864.3E+3	42.47E-3	1.088E+6	39.69E-3	
839.7E+3	48.78E-3	1.045E+6	45.74E-3	864.0E+3	47.13E-3	1.081E+6	45.57E-3	872.9E+3	47.67E-3	1.095E+6	43.83E-3	
824.7E+3	54.07E-3	1.039E+6	50.07E-3	872.0E+3	52.22E-3	1.062E+6	49.92E-3	880.0E+3	52.86E-3	1.098E+6	47.98E-3	
829.5E+3	59.36E-3	1.043E+6	54.39E-3	847.0E+3	57.31E-3	1.063E+6	54.27E-3	884.9E+3	58.06E-3	1.081E+6	52.12E-3	
840.8E+3	64.65E-3	1.052E+6	58.71E-3	847.8E+3	62.40E-3	1.068E+6	58.62E-3	865.3E+3	63.26E-3	1.082E+6	56.26E-3	
850.7E+3	69.95E-3	1.061E+6	63.03E-3	857.8E+3	67.50E-3	1.079E+6	62.97E-3	869.5E+3	68.45E-3	1.084E+6	60.41E-3	
861.9E+3	75.24E-3	1.069E+6	67.35E-3	868.0E+3	72.59E-3	1.086E+6	67.32E-3	879.6E+3	73.65E-3	1.093E+6	64.55E-3	
870.7E+3	80.53E-3	1.076E+6	71.67E-3	878.0E+3	77.68E-3	1.093E+6	71.67E-3	890.1E+3	78.85E-3	1.100E+6	68.69E-3	
879.4E+3	85.82E-3	1.084E+6	75.99E-3	887.5E+3	82.77E-3	1.100E+6	76.02E-3	900.7E+3	84.04E-3	1.106E+6	72.84E-3	
889.1E+3	91.12E-3	1.092E+6	80.31E-3	897.8E+3	87.86E-3	1.107E+6	80.37E-3	909.8E+3	89.24E-3	1.114E+6	76.98E-3	
897.6E+3	96.41E-3	1.098E+6	84.63E-3	905.6E+3	92.96E-3	1.112E+6	84.72E-3	918.6E+3	94.44E-3	1.120E+6	81.12E-3	
906.5E+3	.1017	1.103E+6	88.95E-3	914.3E+3	98.05E-3	1.118E+6	89.07E-3	927.4E+3	99.63E-3	1.126E+6	85.27E-3	
914.4E+3	.1070	1.109E+6	93.27E-3	922.6E+3	.1031	1.123E+6	93.42E-3	935.8E+3	.1048	1.129E+6	89.41E-3	
922.3E+3	.1123	1.115E+6	97.59E-3	930.4E+3	.1082	1.128E+6	97.77E-3	943.9E+3	.1100	1.136E+6	93.55E-3	
930.4E+3	.1175	1.119E+6	.1019	937.3E+3	.1133	1.134E+6	.1021	951.7E+3	.1150	1.140E+6	97.70E-3	
		1.120E+6	.1022	937.6E+3	.1135	1.134E+6	.1022	1.140E+6	97.79E-3	
