f'cc28MPa = 46.01 MPa, ecc28MPa = 0.0084
f'cc70MPa = 90.47 MPa, ecc70MPa = 0.0049
Axial_Strain Axial_Load(kN)
1.250000e-05 2.413502e+02
2.500000e-05 4.817016e+02
3.750000e-05 7.210543e+02
5.000000e-05 9.594082e+02
6.250000e-05 1.196763e+03
7.500000e-05 1.433120e+03
8.750000e-05 1.668477e+03
1.000000e-04 1.902836e+03
1.125000e-04 2.136196e+03
1.250000e-04 2.368557e+03
1.375000e-04 2.599919e+03
1.500000e-04 2.830283e+03
1.625000e-04 3.059648e+03
1.750000e-04 3.288014e+03
1.875000e-04 3.515381e+03
2.000000e-04 3.741750e+03
2.125000e-04 3.967119e+03
2.250000e-04 4.191490e+03
2.375000e-04 4.414863e+03
2.500000e-04 4.637236e+03
2.625000e-04 4.858611e+03
2.750000e-04 5.078986e+03
2.875000e-04 5.298363e+03
3.000000e-04 5.516742e+03
3.125000e-04 5.734121e+03
3.250000e-04 5.950502e+03
3.375000e-04 6.165884e+03
3.500000e-04 6.380267e+03
3.625000e-04 6.593651e+03
3.750000e-04 6.806037e+03
3.875000e-04 7.017424e+03
4.000000e-04 7.227812e+03
4.125000e-04 7.437201e+03
4.250000e-04 7.645591e+03
4.375000e-04 7.852983e+03
4.500000e-04 8.059376e+03
4.625000e-04 8.264770e+03
4.750000e-04 8.469166e+03
4.875000e-04 8.672562e+03
5.000000e-04 8.874960e+03
5.125000e-04 9.076359e+03
5.250000e-04 9.276759e+03
5.375000e-04 9.476161e+03
5.500000e-04 9.674563e+03
5.625000e-04 9.871967e+03
5.750000e-04 1.006837e+04
5.875000e-04 1.026378e+04
6.000000e-04 1.045819e+04
6.125000e-04 1.065159e+04
6.250000e-04 1.084400e+04
6.375000e-04 1.103542e+04
6.500000e-04 1.122583e+04
6.625000e-04 1.141524e+04
6.750000e-04 1.160366e+04
6.875000e-04 1.179107e+04
7.000000e-04 1.197749e+04
7.125000e-04 1.216291e+04
7.250000e-04 1.234733e+04
7.375000e-04 1.253075e+04
7.500000e-04 1.271317e+04
7.625000e-04 1.289460e+04
7.750000e-04 1.307502e+04
7.875000e-04 1.325445e+04
8.000000e-04 1.343287e+04
8.125000e-04 1.361030e+04
8.250000e-04 1.378673e+04
8.375000e-04 1.396216e+04
8.500000e-04 1.413659e+04
8.625000e-04 1.431003e+04
8.750000e-04 1.448246e+04
8.875000e-04 1.465390e+04
9.000000e-04 1.482433e+04
9.125000e-04 1.499377e+04
9.250000e-04 1.516221e+04
9.375000e-04 1.532965e+04
9.500000e-04 1.549609e+04
9.625000e-04 1.566153e+04
9.750000e-04 1.582598e+04
9.875000e-04 1.598942e+04
1.000000e-03 1.615187e+04
1.012500e-03 1.631331e+04
1.025000e-03 1.647376e+04
1.037500e-03 1.663321e+04
1.050000e-03 1.679166e+04
1.062500e-03 1.694911e+04
1.075000e-03 1.710556e+04
1.087500e-03 1.726102e+04
1.100000e-03 1.741547e+04
1.112500e-03 1.756893e+04
1.125000e-03 1.772138e+04
1.137500e-03 1.787284e+04
1.150000e-03 1.802330e+04
1.162500e-03 1.817276e+04
1.175000e-03 1.832121e+04
1.187500e-03 1.846867e+04
1.200000e-03 1.861514e+04
1.212500e-03 1.876060e+04
1.225000e-03 1.890506e+04
1.237500e-03 1.904852e+04
1.250000e-03 1.919098e+04
1.262500e-03 1.933245e+04
1.275000e-03 1.947291e+04
1.287500e-03 1.961237e+04
1.300000e-03 1.975084e+04
1.312500e-03 1.988830e+04
1.325000e-03 2.002477e+04
1.337500e-03 2.016023e+04
1.350000e-03 2.029469e+04
1.362500e-03 2.042815e+04
1.375000e-03 2.056062e+04
1.387500e-03 2.069208e+04
1.400000e-03 2.082254e+04
1.412500e-03 2.095200e+04
1.425000e-03 2.108045e+04
1.437500e-03 2.120791e+04
1.450000e-03 2.133436e+04
1.462500e-03 2.145982e+04
